Крупное направление;Направление подготовки;id направления
Математические науки;01.03.01 Математика;01.03.01
Математические науки;01.03.02 Прикладная математика и информатика;01.03.02
Математические науки;01.03.03 Механика и математическое моделирование;01.03.03
Математические науки;01.03.04 	Прикладная математика;01.03.04
Математические науки;01.05.01 Фундаментальная математика и механика;01.05.01
Компьютерные и информационные науки;02.03.01 Математика и компьютерные науки;02.03.01
Компьютерные и информационные науки;02.03.02 Фундаментальная информатика и информационные технологии;02.03.02
Компьютерные и информационные науки;02.03.03 Математическое обеспечение и администрирование информационных систем;02.03.03
Физические науки и астрономия;03.03.01 Прикладные математика и физика;03.03.01
Физические науки и астрономия;03.03.02 Физика;03.03.02
Физические науки и астрономия;03.03.03 Радиофизика;03.03.03
Физические науки и астрономия;03.05.01 Астрономия;03.05.01
Химические науки;04.03.01 Химия;04.03.01
Химические науки;04.03.02 Химия, физика и механика материалов;04.03.02
Химические науки;04.05.01 Фундаментальная и прикладная химия;04.05.01
Науки о Земле;05.03.01 Геология;05.03.01
Науки о Земле;05.03.02 География;05.03.02
Науки о Земле;05.03.03 Картография и геоинформатика;05.03.03
Природные ресурсы и технологии;05.03.04 Гидрометеорология;05.03.04
Природные ресурсы и технологии;05.03.05 Прикладная гидрометеорология;05.03.05
Природные ресурсы и технологии;05.03.06 Экология и природопользование;05.03.06
Биология и техносферная безопасность ;06.03.01 Биология;06.03.01
Биология и техносферная безопасность ;06.03.02 Почвоведение;06.03.02
Биология и техносферная безопасность ;06.05.01 Биоинженерия и биоинформатика;06.05.01
Архитектура и технологии строительства;07.03.01 Архитектура;07.03.01
Архитектура и технологии строительства;07.03.02 Реконструкция и реставрация архитектурного наследия  ;07.03.02
Архитектура и технологии строительства;07.03.03 Дизайн архитектурной среды;07.03.03
Архитектура и технологии строительства;07.03.04 Градостроительство;07.03.04
Архитектура и технологии строительства;08.03.01 Строительство;08.03.01
Архитектура и технологии строительства;08.05.01 Строительство уникальных зданий и сооружений;08.05.01
Архитектура и технологии строительства;08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей;08.05.02
Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;09.03.01
Компьютерные и информационные науки;09.03.02 Информационные системы и технологии;09.03.02
Компьютерные и информационные науки;09.03.03 Прикладная информатика;09.03.03
Компьютерные и информационные науки;09.03.04 	Программная инженерия;09.03.04
Компьютерные и информационные науки;09.05.01 Применение и эксплуатация автоматизированных систем специального назначения;09.05.01
Компьютерные и информационные науки;10.03.01 Информационная безопасность;10.03.01
Компьютерные и информационные науки;10.05.01 Компьютерная безопасность;10.05.01
Компьютерные и информационные науки;10.05.02 	Информационная безопасность телекоммуникационных систем;10.05.02
Компьютерные и информационные науки;10.05.03 Информационная безопасность автоматизированных систем;10.05.03
Компьютерные и информационные науки;10.05.04 Информационно-аналитические системы безопасности;10.05.04
Компьютерные и информационные науки;10.05.05 Безопасность информационных технологий в правоохранительной сфере;10.05.05
Приборостроение;11.03.01 	Радиотехника;11.03.01
Приборостроение;11.03.02 Инфокоммуникационные технологии и системы связи;11.03.02
Приборостроение;11.03.03 	Конструирование и технология электронных средств;11.03.03
Приборостроение;11.03.04 Электроника и наноэлектроника;11.03.04
Приборостроение;11.05.01 	Радиоэлектронные системы и комплексы;11.05.01
Приборостроение;11.05.02 Специальные радиотехнические системы;11.05.02
Приборостроение;11.05.04 Инфокоммуникационные технологии и системы специальной связи;11.05.04
Приборостроение;12.03.01 Приборостроение;12.03.01
Приборостроение;12.03.02 Оптотехника;12.03.02
