id колледжа;Федеральный округ;Регион;Город;Название ВУЗа;Тип колледжа;Колледж при вузе;Направление колледжа;Официальный сайт;Адрес головного корпуса;Телефон приемной комиссии;Срок действия аккредитации;Достижения колледжа, факты и цифры;Общежитие;Стоимость общежития (минимальная в месяц);Государственная академическая стипендия (мес.);Стипендия по социальным льготам;Ссылка на ютуб-ролик о колледже ;WORLDSKILLS HI-TECH 2017;DIGITALSKILLS 2017;EUROSKILLS 2018;ТОП-100;по порядку;Синонимы
770010;"Северо-Западный ФО
";Архангельская область;г. Архангельск;Архангельский медицинский колледж;Государственный;Нет;Медицина и здравоохранение ;www.arhmedcolledg.ru;г. Архангельск, просп. Новгородский, д. 21;+7 (818) 265-66-04;с 20.11.2017 по 19.11.2023;Медицинский колледж сегодня — это учебное заведение, ведущее подготовку специалистов по учебным планам Европейского стандарта. В настоящее время колледж является ресурсным образовательным центром для подготовки и повышения квалификации специалистов со средним медицинским образованием.;Есть;250;539;809;;;;;ДА;240;"мед колледж архангельск; медицинский в архангельске;"
770011;Сибирский ФО;Томская область;г. Асино;Асиновский техникум промышленной индустрии и сервиса;Государственный;Нет;Сфера услуг, сервис;www.atpromis.com;г. Асино, ул. Гончарова, д. 46;+7 (382) 412-24-51;с 23.05.0217 по 23.05.2023;Учреждение создано на основании приказа Главного управления трудовых резервов РСФСР 26.06.1947 года на базе Асиновского Лесоперевалочного комбината.  Есть центр трудоустройства выпускников.;Есть;410;539;995;https://youtu.be/hSfyvivd6QQ;;;;ДА;186;"промышленный колледж асино; асиновский колледж; техникум на гончарова в асино;"
770012;Приволжский ФО;Саратовская область;г. Балаково;Балаковский промышленно-транспортный техникум им. Н.В. Грибанова;Государственный;Нет;Технологии и технические науки ;www.бптт.рф;г. Балаково, ул. Комсомольская, д. 34;+7 (845) 344-04-38;с 16.01.2015 по 20.01.2020;Балаковский промышленно- транспортный техникум им. Н. В. Грибанова. Осуществляет реализацию основных профессиональных образовательных программ среднего профессионального образования базового и повышенного уровня.;Есть;320;486;730;;;;;ДА;381;"колледж  грибанова; бптт; промышленный колледж балаково; балаковский техникум;"
770014;Приволжский ФО;Оренбургская область;г. Бузулук;Бузулукский колледж промышленности и транспорта при Оренбургском государственном университете (ОГУ);Государственный;Да;Технологии и технические науки ;www.bkpt.osu.ru;г. Бузулук, ул. 1 Мая, д. 35;+7 (353) 425-24-78;c 06.06.2016 по 16.04.2020;Бузулукский колледж промышленности и транспорта Оренбургского государственного университета - это инновационный образовательный комплекс, основными составляющими которого являются кадры, способные реализовывать поставленные задачи в рамках новых образовательных стандартов. Цель образовательной деятельности – подготовка специалиста, способного на основе полученных профессиональных компетенций свободно ориентироваться, самореализовываться, саморазвиваться и самостоятельно принимать правильные, нравственно ответственные решения, в условиях быстроменяющегося мира.;Нет ;;852;1280;;;;;ДА;382;"колледж при огу; промышленный колледж бузулук; транспортный колледж бузулук; "
770321;Северо-Кавказский ФО;Республика Дагестан;г. Буйнакск;Сельскохозяйственный колледж имени Ш.И. Шихсаидова (г. Буйнакск);Государственный;Нет;Сельскохозяйственное дело ;www.sk-im.dagestanschool.ru;г. Буйнакск, ул. Академика Аскерханова, д. 3;+7 (872) 372-92-46;с 10.06.2015 по 10.06.2021;"Дата создания образовательной организации - 01.09.1942.В 2014 году учреждение было присвоен статус колледжа- Республиканский сельскохозяйственный колледж им.Ш.И.Шихсаидова.
За более чем 70 летний период деятельности учреждения было подготовлено более 40 тысяч квалифицированных рабочих кадров для народного хозяйства.";Нет ;;539;809;https://youtu.be/DVg6rYVdR_I;;;;ДА;227;"ск колледж Шихсаидова Буйнакск; сельхоз колледж Шихсаидова  Буйнакск; шихсаидовский колледж Буйнакск;"
770015;Уральский ФО;Свердловская область;г. Верхняя Салда;Верхнесалдинский многопрофильный техникум им. А.А. Евстигнеева;Государственный;Нет;Технологии и технические науки ;www.vsmt-spo.edusite.ru;г. Верхняя Салда, ул. Парковая, д. 14;+7 (343) 455-50-65;с 18.01.2016 по 18.01.2022;На сегодняшний день техникум – это инновационное образовательное учреждение. Система обучения ориентирована на высокий уровень подготовки специалистов, с учетом современных требований и стандартов. Колледж поощряет активное участие студентов в различных мероприятиях. Поэтому городские и российские площадки являются дополнительным источником развития для всех учащихся колледжа.;Нет ;;793;1,190;https://youtu.be/ZbxEKVqjiJk;;;;ДА;128;"всмт Евстигнеева; Евстигнеевский колледж; техникум Верхняя Салда;"
770278;Дальневостоный ФО;Приморский край;г. Владивосток;Приморский политехнический колледж;Государственный;нет;Технологии и технические науки ;www.suz-ppk.ru;г. Владивосток, ул. Бородинская, д. 16;+7 (423) 232-85-10;с 28.04.18 по 28.04.2024;Краевое государственное автономное профессиональное образовательное учреждение «Приморский политехнический колледж» (далее - Колледж) является некоммерческой организацией, созданной для достижения образовательных, социальных, культурных и управленческих целей для удовлетворения духовных и иных нематериальных потребностей граждан в образовании, а также в иных целях, направленных на достижение общественных благ.;Есть;600;509;839;;;;;ДА;385;"ппк владивосток; политех владивосток; колледж на бородинской владивосток;"
770016;Центральный ФО;Воронежская область;г. Воронеж;Воронежский государственный промышленно-гуманитарный колледж;Государственный;Нет;Широкий профиль ;www.vgpgk.vrn.ru;г. Воронеж, просп. Революции, д. 20;+7 (473) 253-07-40;с 14.08.2015 по 17.03.2021;В 1934 году был открыт Воронежский колледж. За время существования он дал стране 2100 квалифицированных механиков и кинотехников – целую армию работников культуры, которые помогали донести до широких масс даже отдаленных уголков страны важнейшее и самое массовое из искусств.;Есть;;539;809;https://youtu.be/xkb1akXos0A;;;;ДА;6;"воронежский промышленный колледж; воронежский гуманитарный колледж;"
770017;Центральный ФО;Воронежская область;г. Воронеж;Воронежский юридический техникум;Государственный;Нет;Гуманитарные науки ;www.law.vrn.ru;г. Воронеж, ул. Ленинградская, д. 1;+7 (473) 222-99-08;c 26.10.2017 по 26.10.2023;За историю существования в учебном заведении подготовлено более 14 тысяч квалифицированных, востребованных специалистов, которые успешно трудятся во всех регионах Российской Федерации и способствуют социально-экономическому развитию нашего государства. В Воронежском юридическом техникуме обеспечивается достойный уровень профессионального образования через высокое качество подготовки специалистов, обладающих ключевыми компетенциями, удовлетворяющими интересам и запросам работодателей. В техникуме создана профессионально насыщенная образовательная среда, ведущим ресурсом при этом выступает инновационная система подготовки с комплексным применением современных образовательных технологий на базе активных методов и форм.;Есть;950;539;810;;;;;ДА;104;"юр колледж воронеж; воронежский колледж на ленинградской;"
770018;Приволжский ФО;Республика Удмуртия;г. Воткинск;Воткинский промышленный техникум;Государственный;Нет;Технологии и технические науки ;www.ciur.ru/vpt/default.aspx;г. Воткинск, ул. Гагарина, д. 23;+7 (34145) 5-19-72;c 23.12.2013 до 03.06.2019;"Колледж основан в 1927 году. В колледже создаются условия для активной внеучебной деятельности студентов. Проводятся мастер-классы, студенты принимают активное участие в Олимпиадах по профессиям, в рамках ""Недели качества"" для учащихся проводятся тематические экскурсии на предприятия города. В 2012 году на базе БПОУ УР ""Воткинский промышленный техникум"" был создан  Учебный центр профессиональных квалификаций, основная миссия которого - подготовка специалистов машиностроительной отрасли.";Есть;300;539;825;https://youtu.be/84P3gL9fATA;;;;ДА;372;"воткинский пром колледж; воткинский колледж на гагарина;"
