id колледжа;Название колледжа;Крупное направление;id специальности;Название специальности;Название специализации;База для поступления;Другие фильтры;Средний балл аттестата;очная Количество бюджетных мест;очная Количество платных мест;очная Срок обучения;очная Стоимость обучения (в год);очно-заочная Количество бюджетных мест;очно-заочная Количество платных мест;очно-заочная Срок обучения;очно-заочная Стоимость обучения (в год);заочная Количество бюджетных мест;заочная Количество платных мест;заочная Срок обучения;заочная Стоимость обучения (в год);дистанционная Количество бюджетных мест;дистанционная Количество платных мест;дистанционная Срок обучения;дистанционная Стоимость обучения (в год);Адрес обучения 1;Адрес обучения 2;Адрес обучения 3;Адрес обучения 4;Квалификация (профессия);Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;;2
770001;Авиационно-транспортный колледж Санкт-Петербургского государственного университета гражданской авиации (СПбГУГА);Транспортные технологии;7770001;23.02.01 Организация перевозок и управление на транспорте (по видам);;11 класс;;4.8;25;75;2 года 10 мес.;85,000;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, ул. Пилотов, д. 38;;;;"Техник; Старший техник; ";;;;;;;;;;;;;;;;;;3
770001;Авиационно-транспортный колледж Санкт-Петербургского государственного университета гражданской авиации (СПбГУГА);Лётная и космическая техника;7770002;25.02.05 Управление движением воздушного транспорта;;11 класс;;4.0;75;200;2 года 10 мес.;95,000;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, ул. Пилотов, д. 38;;;;"Диспетчер; ";;;;;;;;;;;;;;;;;;4
770001;Авиационно-транспортный колледж Санкт-Петербургского государственного университета гражданской авиации (СПбГУГА);Сфера услуг, сервис;7770003;43.02.06 Сервис на транспорте (по видам транспорта);;11 класс;;4.5;60;90;1 год 10 мес.;85,000;0;0;;;0;50;2 года 10 мес.;32450;0;0;;;г. Санкт-Петербург, ул. Пилотов, д. 38;;;;"Специалист по сервису на транспорте; ";;;;;;;;;;;;;;;;;;5
770002;Автодорожный колледж (г. Санкт-Петербург);Приборостроение;7770004;15.01.05 Сварщик (ручной и частично механизированной сварки (наплавки));;9 класс;;3.0;25;0;2 года 10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;;;;"Сварщик ручной дуговой сварки плавящимся покрытым электрод.; Сварщик частично механизированной сварки плавлением; Сварщик ручной дуговой сварки неплавящимся электрод. в защитном газе; Газосварщик; Сварщик ручной сварки полимерных материалов; Сварщик термитной сварки; ";;;;;;;;;;;;;;;;;;6
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770005;23.01.03 Автомеханик;Слесарь по ремонту автомобилей+общее образование;8 класс;;3.0;50;0;10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;г. Санкт-Петербург, ул. Учительская, д. 3;;;"Слесарь по ремонту автомобилей;общее образование;";;;;;;;;;;;;;;;;;;7
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770006;23.01.03 Автомеханик;;11 класс;;3.0;50;0;10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;г. Санкт-Петербург, Ириновский просп., д. 29;;;"Слесарь по ремонту автомобилей; Водитель автомобиля; Оператор заправочных станций; ";;;;;;;;;;;;;;;;;;8
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770007;23.01.03 Автомеханик;;9 класс;;3.0;125;0;2 года 10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;г. Санкт-Петербург, Ириновский просп., д. 29;г. Санкт-Петербург, ул. Учительская, д. 3;;"Слесарь по ремонту автомобилей; Водитель автомобиля; Оператор заправочных станций; ";;;;;;;;;;;;;;;;;;9
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770008;23.01.06 Машинист дорожных и строительных машин;;9 класс;;3.0;50;0;2 года 10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;г. Санкт-Петербург, ул. Учительская, д. 3;;;"Машинист бульдозера; Машинист скрепера; Машинист автогрейдера; Машинист экскаватора одноковшового; Машинист катка самоходного с гладкими вальцами; Машинист компрессора передвижного с двигателем внутреннего сгорания; Машинист трубоукладчика; Тракторист; ";;;;;;;;;;;;;;;;;;10
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770009;23.01.07 Машинист крана (крановщик);;9 класс;;3.0;50;0;2 года 10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;г. Санкт-Петербург, ул. Учительская, д. 3;;;"Водитель автомобиля; Машинист крана автомобильного; Машинист крана (крановщик); ";;;;;;;;;;;;;;;;;;11
770002;Автодорожный колледж (г. Санкт-Петербург);Транспортные технологии;7770010;23.01.17 Мастер по ремонту и обслуживанию автомобилей;;11 класс;;3.0;25;0;10 мес.;;0;0;;;0;0;;;0;0;;;г. Санкт-Петербург, Придорожная алл, д. 7;;;;"Слесарь по ремонту автомобилей; Водитель автомобиля; ";;;;;;;;;;;;;;;;;;12
