Название;Тип списка;Регион (id);Ссылка текущая;Описание;Заголовок вкладки (title);Мета-описание (description);URL (латинницей)
Вузы Алтайского Края;По фильтру;4;https://propostuplenie.ru/university/?Region[]=4;Список вузов Алтайского Края, в которые можно поступить в 2019 году;Список вузов Алтайского Края, в которые можно поступить в 2019 году;Список вузов Алтайского Края, в которые можно поступить в 2019 году;vuzy-altajskogo-kraya
Вузы Амурской области;По фильтру;58;https://propostuplenie.ru/university/?Region[]=58;Список вузов Амурской области, в которые можно поступить в 2019 году;Список вузов Амурской области, в которые можно поступить в 2019 году;Список вузов Амурской области, в которые можно поступить в 2019 году;vuzy-amurskoj-oblasti
Вузы Архангельской области;По фильтру;79;https://propostuplenie.ru/university/?Region[]=79;Список вузов Архангельской области, в которые можно поступить в 2019 году;Список вузов Архангельской области, в которые можно поступить в 2019 году;Список вузов Архангельской области, в которые можно поступить в 2019 году;vuzy-arhangelskoj-oblasti
Вузы Астраханской области;По фильтру;23;https://propostuplenie.ru/university/?Region[]=23;Список вузов Астраханской области, в которые можно поступить в 2019 году;Список вузов Астраханской области, в которые можно поступить в 2019 году;Список вузов Астраханской области, в которые можно поступить в 2019 году;vuzy-astrahanskoj-oblasti
Вузы Беларуси;По фильтру;143;https://propostuplenie.ru/university/?Region[]=143;Список вузов Беларуси, в которые можно поступить в 2019 году;Список вузов Беларуси, в которые можно поступить в 2019 году;Список вузов Беларуси, в которые можно поступить в 2019 году;vuzy-belarusi
Вузы Белгородской области;По фильтру;64;https://propostuplenie.ru/university/?Region[]=64;Список вузов Белгородской области, в которые можно поступить в 2019 году;Список вузов Белгородской области, в которые можно поступить в 2019 году;Список вузов Белгородской области, в которые можно поступить в 2019 году;vuzy-belgorodskoj-oblasti
Вузы Брянской области;По фильтру;24;https://propostuplenie.ru/university/?Region[]=24;Список вузов Брянской области, в которые можно поступить в 2019 году;Список вузов Брянской области, в которые можно поступить в 2019 году;Список вузов Брянской области, в которые можно поступить в 2019 году;vuzy-bryanskoj-oblasti
Вузы Владимирской области;По фильтру;65;https://propostuplenie.ru/university/?Region[]=65;Список вузов Владимирской области, в которые можно поступить в 2019 году;Список вузов Владимирской области, в которые можно поступить в 2019 году;Список вузов Владимирской области, в которые можно поступить в 2019 году;vuzy-vladimirskoj-oblasti
Вузы Волгоградской области;По фильтру;31;https://propostuplenie.ru/university/?Region[]=31;Список вузов Волгоградской области, в которые можно поступить в 2019 году;Список вузов Волгоградской области, в которые можно поступить в 2019 году;Список вузов Волгоградской области, в которые можно поступить в 2019 году;vuzy-volgogradskoj-oblasti
Вузы Вологодской области;По фильтру;70;https://propostuplenie.ru/university/?Region[]=70;Список вузов Вологодской области, в которые можно поступить в 2019 году;Список вузов Вологодской области, в которые можно поступить в 2019 году;Список вузов Вологодской области, в которые можно поступить в 2019 году;vuzy-vologodskoj-oblasti
Вузы Воронежской области;По фильтру;1;https://propostuplenie.ru/university/?Region[]=1;Список вузов Воронежской области, в которые можно поступить в 2019 году;Список вузов Воронежской области, в которые можно поступить в 2019 году;Список вузов Воронежской области, в которые можно поступить в 2019 году;vuzy-voronezhskoj-oblasti
Вузы Севастополя;По фильтру;133;https://propostuplenie.ru/university/?Region[]=133;Список вузов Севастополя, в которые можно поступить в 2019 году;Список вузов Севастополя, в которые можно поступить в 2019 году;Список вузов Севастополя, в которые можно поступить в 2019 году;vuzy-sevastopolya
Вузы Еврейской Автономной области;По фильтру;73;https://propostuplenie.ru/university/?Region[]=73;Список вузов Еврейской Автономной области, в которые можно поступить в 2019 году;Список вузов Еврейской Автономной области, в которые можно поступить в 2019 году;Список вузов Еврейской Автономной области, в которые можно поступить в 2019 году;vuzy-evrejskoj-avtonomnoj-oblasti
Вузы Забайкальского края;По фильтру;10;https://propostuplenie.ru/university/?Region[]=10;Список вузов Забайкальского края, в которые можно поступить в 2019 году;Список вузов Забайкальского края, в которые можно поступить в 2019 году;Список вузов Забайкальского края, в которые можно поступить в 2019 году;vuzy-zabajkalskogo-kraya
Вузы Ивановской области;По фильтру;2;https://propostuplenie.ru/university/?Region[]=2;Список вузов Ивановской области, в которые можно поступить в 2019 году;Список вузов Ивановской области, в которые можно поступить в 2019 году;Список вузов Ивановской области, в которые можно поступить в 2019 году;vuzy-ivanovskoj-oblasti
Вузы Иркутской области;По фильтру;20;https://propostuplenie.ru/university/?Region[]=20;Список вузов Иркутской области, в которые можно поступить в 2019 году;Список вузов Иркутской области, в которые можно поступить в 2019 году;Список вузов Иркутской области, в которые можно поступить в 2019 году;vuzy-irkutskoj-oblasti
Вузы Кабардино-Балкарской республики;По фильтру;12;https://propostuplenie.ru/university/?Region[]=12;Список вузов Кабардино-Балкарской республики, в которые можно поступить в 2019 году;Список вузов Кабардино-Балкарской республики, в которые можно поступить в 2019 году;Список вузов Кабардино-Балкарской республики, в которые можно поступить в 2019 году;vuzy-kabardino-balkarskoj-respubliki
