id профессии;Сфера деятельности;Профессия;В каких областях можно работать?;С чем хочу работать;Что хочу делать;Зарплата начинающего специалиста (по России);Зарплата ведущего специалиста (по России);Что делает специалист;Какими качествами нужно обладать;Книги для саморазвития;Фильмы, влоги, передачи про профессию (не выше 16+);Рекомендуемые специальности ;Похожие профессии;График работы;Характер труда;;;
2641;Культура и искусство;Писатель;"<ul><li>Драматург;</li><li>Автор уникальных текстов;</li><li>Поэт;</li><li>Сценарист;</li><li>Технический писатель;</li><li>Спичрайтер.</li></ul>";Искусство;Творить;15 000;110 000;"<ul><li>Создает уникальные художественные литературные произведения;</li><li>Находит интересные современному читателю темы и раскрывает их в произведениях.</li></ul>";"<ul><li>Развитая фантазия/li><li>Богатый словарный запас, умение красиво и понятно выражать свои мысли и идеи;</li><li>Способность к эмпатии;</li><li>Умение организовать креативную работу по расписанию, а не по вдохновению</li></ul>";"<ul><li>Крис Бейте «Литературный марафон»*Крис Бейти, основатель литературного марафона «National Novel Writing Month», делится своими секретами и стратегиями, позволяющими написать хороший рассказ за короткое время. Понедельный план действий поможет справиться с романом за месяц как новичку, так и опытному писателю.</li><li>Николай Кононов «Автор, ножницы, бумага»*Журналист и писатель Николай Кононов создал метод, который выглядит как лестница из 14 ступеней к умению писать оригинально и по делу. Книга поможет и писателям, и репортерам, и редакторам, и копирайтерам, и менеджерам, и студентам писать книги, статьи, очерки, посты и слоганы; выбирать захватывающие темы и придумывать заголовки; доносить до читателя смысл, а не белый шум.</li><li>Стивен Кинг «Как писать книги: мемуары о ремесле»*Король ужасов объясняет читателям, как формируется писатель и каковы главные секреты его «ремесла». Просто и с юмором рассказывает, что необходимо знать и уметь человеку, чтобы его творения возглавляли международные списки бестселлеров.</li><li>Блейк Снайдер «Спасите котика! И другие секреты сценарного мастерства»*Книга № 1 в рейтинге Amazon по теме «Киносценарии», написанная простым и понятным языком и отвечающая на большинство вопросов, возникающих у писателей при создании сценария. Автор описывает приемы, которые помогут создать сценарий с хорошим коммерческим потенциалом, яркими героями и запоминающимся названием.</li></ul>";<ul><li>Гений (2016)*https://youtu.be/3bh4wn1prcA</li><li>Довлатов (2018)*https://youtu.be/QRYddYOpIfg</li><li>Мисс Поттер (2006)*https://youtu.be/J_ClRR4UY8I</li><li>Призрак (2009)* https://youtu.be/DOf4TGqPDTI</li></ul>;<p>42.03.02 Журналистика</p><p>45.03.01 Филология</p><p>52.05.04 Литературное творчество</p><p>45.03.02 Лингвистика</p><p>42.03.01 Реклама и связи с общественностью</p>;;Индивидуальный график;Удаленная работа;;;
2642;Гуманитарные области;Журналист;<ul><li>Газетный репортер</li><li>Фоторепортер</li><li>Корреспондент</li><li>Тележурналист</li><li>Контент-менеджер</li><li>Редактор</li></ul>;"Информация; Люди";"Производить; Исследовать";30000;130000;"<ul>
<li>Находит или описывает новость для СМИ;</li>
<li>Пишет статьи, пресс-релизы, публикации для сайтов;</li>
<li>Готовит вопросы к интервью, проводит  встречи с интересными личностями;</li>
<li>Делает журналистские расследования.</li>
</ul>";"<ul>
<li>Способность работать с большим количеством текстовой и устной информации;</li>
<li>Любопытство, критическое мышление и жажда новостей;</li>
<li>Желание много общаться с людьми;</li><li>Тактичность.</li>
</ul>";"<ul>
<li>Леонид Бершидский «Ремесло»*Книга первого главного редактора газеты «Ведомости», сайтов Slon.ru и Forbes.ua, первого издателя русского Forbes позволяет посмотреть на профессию журналиста изнутри, получить представление о жизнедеятельности средств массовой информации и образе мыслей журналистов. Важная особенность книги — наличие множества интересных примеров из практического опыта работы журналистом.</li>
<li>Дмитрий Соколов-Митрич ""Реальный репортер. Чему не учат на журфаке""*Избранные репортажи и практические рекомендации одного из лучших журналистов страны — Дмитрия Соколова-Митрича. Книга для студентов факультетов журналистики, начинающих и опытных журналистов и репортеров, а также для всех, кто хочет посмотреть на историю современной России через репортажи автора.</li>
<li>Ольга Соломатина ""Писать легко""*Эта книга — сборник лекций и практических заданий, которые помогут справиться со сложностями писательского труда. Ольга Соломатина утверждает, что можно написать любой текст, следуя несложным правилам, и написать его по-настоящему хорошо.</li>
</ul>";"<ul><li>Тысячу раз ""спокойной ночи""(2013)*https://youtu.be/PLgfdX5du9g</li><li>Cлужба новостей (2012-2014)*https://youtu.be/jqsELA1rDV4</li></ul>";"<p>42.03.02 Журналистика</p><p>56.05.05 Военная журналистика</p><p>42.03.01 Реклама и связи с общественностью</p>
<p>45.03.01 Филология</p><p>45.03.02 Лингвистика</p><p>41.03.06 Публичная политика и социальные науки/p><p>41.03.04 Политология</p><p>52.05.04 Литературное творчество</p><p>42.03.04 Телевидение</p><p>42.03.03 Издательское дело</p><p>42.03.05 Медиакоммуникации</p>";;Подвижный график;"Офисная работа; Разъезды по городу";;;
2643;Гуманитарные области;Редактор;"<ul><li>Редактор печатных изданий;</li><li>Редактор интернет-порталов;</li><li>Выпускающий редактор;</li><li>Художественный редактор;</li><li>Технический редактор.</li></ul>";Информация;"Контролировать; Управлять";30 000;105 000;"<ul><li>Редактирует выпускаемые материалы и литературу;</li><li>Выбирает темы для статей, подходящих под концепцию издания;</li><li>Отбирает готовые материалы, статьи, рукописи, фотографии и иллюстрации в соответствии с форматом издания;</li><li>Проводит предпечатную подготовку материалов, утверждает художественный и технический стиль оформления публикаций.</li></ul>";"<ul><li>Умение ориентироваться в современных тенденциях и прогнозировать читательский интерес;</li><li>Умение быстро работать с большим количеством информации, мобильность;</li><li>Чувство стиля и творческое мышление;</li><li>Внимание к мелочам и стремление к совершенству в работе;</li><li>Грамотный русский язык.</li></ul>";"<ul><li>Лидия Чуковская «В лаборатории редактора»*Книга рассказывает о работе редактора Лидии Чуковской и её коллег-редакторов в легендарной редакции ленинградского Детгиза, а также знакомит читателей с принципами создания и редактирования текстов.</li><li>Аркадий Мильчин «О редактировании и редакторах»*Книга раскрывает историю и природу редактирования. Основой книги послужила коллекция вырезок и выписок, которую более полувека собирал Аркадий Мильчин, крупнейший редактор, известный автор книг и статей на редакционно-издательские темы.</li><li>Максим Ильяхов, Людмила Сарычева «Пиши, сокращай»*Книга Максима Ильяхова, ответственного редактора Дизайн-бюро Артема Горбунова, ректора Школы редакторов и автора сервиса «Главред». Предназначена для всех, пишет по работе; помогает научиться писать интересно и убедительно.</li></ul>";<ul><li>Сентябрьский номер (2009)* https://youtu.be/1XOpiaQJPwo</li><li>Секретное досье (2018)*https://youtu.be/q7Bform2QNA</li><li>Дьявол носит Prada (2006)*https://youtu.be/cS-Mly99RBc</li></ul>;"<p>42.03.02 Журналистика</p><p>56.05.05 Военная журналистика</p><p>42.03.01 Реклама и связи с общественностью</p>
<p>45.03.01 Филология</p><p>45.03.02 	Лингвистика</p><p>41.03.04 Политология</p><p>52.05.04 Литературное творчество</p><p>38.03.02 Менеджмент</p><p>42.03.03 Издательское дело</p><p>42.03.05 Медиакоммуникации</p>";;Четкий график;Офисная работа;;;
2644;Гуманитарные области;Event-менеджер;"<ul><li>Свадебный организатор;</li><li>Организатор конференций;</li><li>Организатор социально-культурных мероприятий;</li><li>Специалист по конгрессо-выставочной деятельности.</li></ul>";"Люди; Информация";"Контролировать; Управлять; Творить";30 000;125 000;"<ul><li>Создает концепцию и планирует мероприятия разнообразных форматов;</li><li>Ведет переговоры с заказчиками и исполнителями;</li><li>Составляет планы, графики, списки необходимого снаряжения, рассчитывает бюджет;</li><li>Администрирует мероприятия, помогает гостям, решает сложные ситуации во время мероприятий;</li><li>Делает отчеты о проведенных мероприятиях.</li></ul>";"<ul><li>Умение быстро принимать решения в любых ситуациях;</li><li>Энергичность, креативное мышление и творческий потенциал;</li><li>Владение навыком деловых переговоров;</li><li>Лидерские качества, умение организовать свою работу и работу других людей.</li></ul>";<ul><li>Александр Шумович «Великолепные мероприятия»*Первая в России книга о технологии организации мероприятий, которая была написана event-менеджером-практиком, директором агентства Eventum Premo, вошедшего в TOP50 event-агентств мира. В книге можно найти всё, чтобы провести мероприятие от А до Я, включая практические руководства, памятки для организатора и прочие мелочи, разработанные автором во время проведения мероприятий.</li><li>Алексей Берлов, Александр Шумович «Смешать, но не взбалтывать. Рецепты организации мероприятий»*Книга от event-менеджеров Eventum Premo – отличный рецепт коктейля под названием “Совершенное мероприятие” для начинающего и опытного event-менеджера. Книга поможет event-менеджеру понять, зачем нужны мероприятия, выбрать верную концепцию, построить сценарий, подобрать техническое оборудование, эффективно управлять командой и избежать ошибок.</li><li>Event.ru*Информационный портал, в котором содержатся статьи, видео, обзоры, руководства к действию и последние новости в сфере организации мероприятий. Интернет-издание, которое должно находиться в закладках у каждого event-менеджера.</li></ul>;"<ul><li>""Познавательный фильм"": Вечеринки как работа (2013)*https://youtu.be/WATBk4mmmbI</li><li>Свадебный переполох (2001)*https://youtu.be/IUo7pSRrKfQ</li></ul>";<p>51.03.03 Социально-культурная деятельность</p><p>42.03.01 Реклама и связи с общественностью</p><p>43.03.01 Сервис</p><p>43.03.03 Гостиничное дело</p><p>39.03.03 Организация работы с молодежью</p><p>38.03.02 Менеджмент</p><p>51.03.05 Режиссура театрализованных представлений и праздников</p>;;Подвижный график;"Офисная работа; Разъезды по городу";;;
2645;Гуманитарные области;Пресс-секретарь;"<ul><li>Специалист по связям с прессой;</li><li>Спичрайтер;</li><li>GR-менеджер;</li><li>Специалист по связям с общественностью.</li></ul>";"Информация; Люди";"Управлять; Контролировать";35 000;120 000;"<ul><li>Организует интервью и пресс-конференций;</li><li>Взаимодействует с журналистами и общественностью, чтобы сохранить или укрепить репутацию компании;</li><li>Выпускает пресс-релизы, сообщения и заявления для СМИ;</li><li>Создает и редактирует материалы для корпоративного сайта, отслеживает публикации о представителе в СМИ.</li></ul>";"<ul><li>Умение чётко и недвусмысленно выражать свои мысли;</li><li>Сообразительность, быстрая реакция, умение ориентироваться в изменяющейся среде;</li><li>Грамотный русский язык, красивая речь, навыки публичных выступлений;</li><li>Способность запоминать большой объём информации;</li><li>Презентабельный внешний вид.</li></ul>";<ul><li>Людмила Васильева «Я - пресс-секретарь»*Книга о работе пресс-секретарей и о том, как устроена пресс-служба изнутри. В книгу вошли образцы лучших речей, описание структуры пресс-служб в различных учреждениях США, примеры официальных речей и деловые рекомендации по поводу грамотного пользования мобильными телефоном.</li><li>Сергей Кузин, Олег Ильин «Человек медийный. Технологии безупречного выступления в прессе, на радио и телевидении»*Книга однозначно достойна прочтения - она дает исчерпывающие ответы на вопросы, касающиеся общения со СМИ, учит, как обратить себе на пользу любой, даже самый острый вопрос. В ней известные журналисты открыли свои профессиональные секреты и рассказали о том, что ожидают от ньюсмейкеров и пресс-секретарей по ту сторону микрофона.</li><li>Андрей Мирошниченко «Работа в пресс-службе. Журналистика для пресс-секретарей»*Первое в России издание, в котором собраны знания журналистов и знания о журналистах, которые подойдут для использования пресс-секретарями. В книге подробно разбираются способы взаимодействия пресс-секретарей с журналистами и редакторами.</li><li>Журнал «Пресс-служба»*Журнал публикует практические материалы, необходимые в работе каждого пиарщика, кейсы, примеры успешных PR-кампаний, технологии работы по продвижению компании, организации, органа власти или руководителя. Интервью с ведущими PR-специалистами, руководителями пресс-служб и пресс-секретарями дают возможность читателю понять, что на сегодняшний день актуально в отрасли, какие приемы и техники приносят наибольший результат, помогают заглянуть в творческую кухню коллег по цеху.</li></ul>;"<ul><li>Youtube-канал Тимура Асланова*https://youtu.be/fnmBPdWz9PA </li><li>Youtube-канал ""PR Связи с общественностью""*https://youtu.be/M3STMChxiW8</li></ul>";<p>42.03.01 Реклама и связи с общественностью</p><p>42.03.02 Журналистика</p><p>41.03.04 Политология</p><p>41.03.05 Международные отношения</p><p>46.03.02 Документоведение и архивоведение</p><p>38.03.04 Государственное и муниципальное управление</p><p>42.03.05 Медиакоммуникации</p><p>41.03.06 Публичная политика и социальные науки/p>;;Подвижный график;"Офисная работа; Разъезды по городу";;;
2646;Гуманитарные области;Переводчик;"<ul><li>Синхронный переводчик;</li><li>Литературный переводчик;</li><li>Переводчик технических текстов;</li><li>Гид-переводчик;</li><li>Сурдопереводчик;</li><li>Военный переводчик.</li></ul>";"Информация; Люди";"Производить; Обслуживать";30 000;200 000;"<ul><li>Делает устный синхронный или последовательный перевод иностранной речи;</li><li>Делает письменный перевод текстов различной тематики с соблюдением стиля оригинала;</li><li>Редактирует тексты других переводчиков;</li><li>Пишет рецензии и аннотации к иностранным изданиям.</li></ul>";"<ul><li>Умение быстро находить нужную информацию;</li><li>Способность концентрироваться в стрессовых ситуациях;</li><li>Внимание к деталям языка, здравый перфекционизм.</li></ul>";"<ul><li>Геннадий Мирам «Профессия: переводчик»*Автор простым и приятным языком раскрывает сущность работы переводчиком. Книга рассказывает, как происходит процесс перевода, какие у него бывают жанры, а также показывает читателю практическую стороны работы переводчиком. В книге можно найти яркие примеры из жизни переводчика, которые будут интересны как начинающим переводчикам и студентам, так и профессионалам и преподавателям.</li><li>Умберто Эко «Сказать почти то же самое. Опыты о переводе»*В книге автор в доступной и занимательной форме обобщает свой богатейший опыт работы переводчиком, чтобы дать вполне серьезные рекомендации всем, кто воссоздает почти то же самое на родном языке, то есть занимается переводами. </li><li>Елена Калашникова «По-русски с любовью. Беседы с переводчиками»*В этой книге автор собрала беседы с известными современными переводчиками художественной литературы: культовыми переводчиками и их молодыми коллегами. Книга является собранием авторитетных мнений по разным вопросам, касающимся перевода; содержит в себе теорию и практические примеры.</li><li>Дуглас Робинсон «Как стать переводчиком»*Книга, объединившая в себе теорию и практические рекомендации, - отличное пособие и для новичков, и для тех, кто давно занимается переводом. Здесь вы найдете массу полезной информации и множество ценных советов: как устроен рынок переводов, как переводить быстрее и точнее, как справляться с потенциальными проблемами переводчиков.</li></ul>";<ul><li>Переводчица (2005)*https://youtu.be/aeU7esAX-qc</li><li>Youtube-канал lourdes De Rioja*https://youtu.be/uDqkA7EGZ2M</li></ul>;<p>45.05.01 Перевод и переводоведение</p><p>45.03.01 Филология</p><p>45.03.02 Лингвистика</p><p>45.03.03 Фундаментальная и прикладная лингвистика</p><p>41.03.06 Зарубежное регионоведение</p><p>58.03.01 Востоковедение и африканистика</p><p>41.03.05 Международные отношения</p>;;Подвижный график;"Разъезды по городу; Командировки; Удаленная работа";;;
2647;Гуманитарные области;Лингвист;"<ul><li>Лингвист-исследователь;</li><li>Филолог;</li><li>Компьютерный лингвист;</li><li>Нейролингвист;</li><li>Литературный переводчик;</li><li>Переводчик технических текстов;</li><li>Методист-языковед</li></ul>";Информация;"Исследовать; Конструировать";20000;80 000;"<ul><li>Исследует языки, пишет научные работы на тему языкознания;</li><li>Разрабатывает словари и учебники;</li><li>Изучает механизмы речевой деятельности человека;</li><li>Создает алгоритмы машинного и автоматизированного перевода.</li></ul>";"<ul><li>Хорошая память, развитое ассоциативное и образное мышление; <li>Умение долго концентрироваться на одной задаче;</li></li><li>Способность анализировать большое количество информации;</li><li>Умение грамотно и красиво выражать свои мысли;</li><li>Жажда исследований</li></ul>";"<ul><li>Ноам Хомский, Роберт Бервик «Человек говорящий. Эволюция и язык»*Книга одного эксцентричного и неукротимого лингвиста современности и его друга, специалиста по искусственному интеллекту, отвечает читателю на вопросы, почему и зачем люди научились разговаривать. Если вы задумывались, почему непросто учить иностранные языки, хотя в детстве каждый из нас легко освоил свой родной, или же интересовались, на каком языке разговаривали неандертальцы, то это книга поможет ответить на эти и многие другие ваши вопросы</li><li>Владимир Плунгян «Почему языки такие разные»*Известный лингвист, член-корреспондент РАН, рассказывает читателям, сколько языков на земле, как они устроены; как и по каким законам изменяются; почему одни из них - родственные, а другие нет; чем именно отличается русский язык от английского, а китайский от японского; зачем глаголу наклонение и вид, а существительному падежи</li><li>Владимир Алпатов «Языкознание. От Аристотеля до компьютерной лингвистики»*Книга Владимира Алпатова рассказывает, чем на самом деле занимаются лингвисты и что их интересует. Зачем лингвисты читают старинные рукописи, отправляются в экспедиции в джунгли и пишут компьютерные программы. Как появились лингвистические теории и как они помогают решать практические задачи: преподавать языки, разрабатывать письменности, создавать алгоритмы машинного перевода.</li><li>Корней Чуковский «Живой как жизнь. О русском языке»*Главная книга Чуковского, посвященная русскому языку, его истории и современной жизни, законам его развития. Научный анализ речи и нескрываемый интерес автора к русскому языку сделали книгу популярной и читаемой в России.</li></ul>";<ul><li>Тайна кода Майя (2008)*https://youtu.be/7VGX0lIskDA</li><li>Счастлив ли человек высокого роста? (2013)*https://youtu.be/zex7yxN4GW0</li><li>Код Амазонки - Индейцы Пираха (2012)*https://youtu.be/LJwEC9MhE_M</li></ul>;<p>45.03.02 Лингвистика</p><p>45.03.03 Фундаментальная и прикладная лингвистика</p><p>45.03.01 Филология</p><p>45.05.01 Перевод и переводоведение</p><p>45.05.01 Перевод и переводоведение</p><p>41.03.06 Зарубежное регионоведение</p><p>58.03.01 Востоковедение и африканистика</p>;;Четкий график;Офисная работа;;;
2161;Культура и искусство;Архитектор;"<ul><li>Архитектор зданий и сооружений;</li><li>Архитектор интерьеров;</li><li>Ландшафтный архитектор;</li><li>Проектировщик городской инфраструктуры;</li><li>Проектировщик</li></ul>";"Искусство; Техника";"Конструировать; Творить";30 000;170 000;"<ul><li>Разрабатывает планировки и схемы будущих построек в Autodesk Revit, AutoCad, в графических редакторах Adobe (Indesign, Illustrator, Photoshop), SketchUp</li></li><li>Визуализирует идеи и презентует их заказчику;</li><li>Оформляет проектную документацию, составляет сметы и расчеты;</li><li>Ведет авторский контроль реализации проекта, решает возникающие проблемы.</li></ul>";"<ul><li>Наличие эстетического вкуса;</li><li>Развитое логическое и пространственное мышление;</li><li>Усидчивость, здравый перфекционизм;</li><li>Умение отстаивать свою точку зрения и защищать предлагаемые идеи.</li></ul>";<ul><li>Дуг Пэтт «Как стать архитектором»*Книга известного современного американского архитектора и преподавателя архитектуры Дуга Пэтта открывает двери в мир архитектуры для тех, кто планирует посвятить себя этому искусству. Будущие архитекторы найдут здесь вдохновение для творчества и узнают, как и какими категориями мыслит современный специалист.</li><li>Дэвид Маколи «Как это построено»*Автор описывает весь путь создания выдающихся творений инженерной и архитектурной мысли, раскрывая перед нами дверь в интересный мир, знакомый лишь узкому профессиональному кругу архитекторов. Каждый рассказ сопровождается подробными иллюстрациями Дэвида Маколи, который в своей известной манере, с детальной точностью, прорисовывает схемы построек.</li><li>Патрик Диллон, Стивен Бисти «Великие здания»*Каждая глава книги посвящена определенному зданию, которое смело можно назвать новаторским для своего времени, а значит — великим. На больших разворотах представлены прекрасные карандашные изображения зданий, которые передают их объем, форму, внутреннее убранство и внешний декор. Архитектурные детали снабжены подписями и комментариями.</li><li>«Architectural Digest»*Крупнейший международный архитектурный журнал, в котором представлены лучшие работы современных архитекторов и дизайнеров. </li><li>Том Уилкинсон «Люди и кирпичи: Десять архитектурных сооружений, которые изменили мир»*Книга Тома Уилкинсона - захватывающее путешествие в историю архитектуры, в ходе которого вам предстоит познакомиться с десятью сооружениями великих архитекторов, удаленными друг от друга во времени и пространстве: из Древнего Вавилона вы попадете во Флоренцию эпохи Возрождения, в Пекин рубежа XVIII-XIX веков, в Лондон 1930-х годов, а затем и в современный Рио-де-Жанейро.</li></ul>;<ul><li>Наброски Фрэнка Гэри (2006)*https://youtu.be/KSAYQlWG71s</li><li>Архитектор (2016)*https://youtu.be/rn9pk_186P4</li><li>Сколько весит ваше здание, мистер Фостер? (2010)*https://youtu.be/szrcxjwUSro</li></ul>;<p>07.03.01 Архитектура</p><p>07.03.02 Реконструкция и реставрация архитектурного наследия</p><p>07.03.04 Градостроительство</p><p>07.03.03 Дизайн архитектурной среды</p><p>35.03.10 Ландшафтная архитектура</p><p>54.03.01  Дизайн</p>;;Четкий график;"Офисная работа; Разъезды по городу";;;
2162;Культура и искусство;Дизайнер одежды;"<ul><li>Модельер одежды;</li><li>Художник по костюмам;</li><li>Дизайнер аксессуаров.</li></ul>";Мир вещей;"Конструировать; Творить";30 000;175 000;"<ul><li>Создает эскизы одежды в соответствии с трендами и тенденциями моды;</li><li>Конструирует и создает одежду самостоятельно или в команде с конструкторами и технологами;</li><li>Разрабатывает или подбирает аксессуары, декоративные элементы.</li></ul>";"<ul><li>Хорошо развитое чувство вкуса и стиля;</li><li>Внимание к деталям, аккуратность в работе, здравый перфекционизм;</li><li>Искренний интерес к моде;</li><li>Навыки работы с графическими редакторами Adobe PhotoShop, Adobe Illustrator, InDesign, Adobe After Effects и др.;</li><li>Художественные навыки, креативное мышление и творческий потенциал.</li></ul>";"<ul><li>Ноэль Паломо-Ловински «Мода и модельеры»*В книге представлены 50 самых знаковых дизайнеров одежды за всю историю модной индустрии от первых знаменитых портных, таких как Поль Пуарье, и до современных дизайнеров, изменивших стиль и культуру в XXI веке. 50 дизайнеров одежды были выбраны по принципу их мощного экстраординарного влияния на моду.</li><li>Кэролайн Тэтхем «Дизайн в моде. Моделирование одежды»*Книга познакомит читателей с работой дизайнера изнутри. Этот потрясающий учебник, состоящий из 24 уроков, шаг за шагом рассматривает все этапы создания одежды - от поиска основной творческой концепции всей коллекции до конкретных техник её моделирования. Прочтите эту книгу и, может быть, окажется, что дизайнер одежды – это ваша будущая профессия.</li><li>Фернандес Анхель ""Рисунок для модельеров""*В книге содержатся базовый курс рисунка, основные сведения о материалах и техниках, необходимых для создания эскизов, а также базовые концепции дизайна, приведены примеры рисунков моделей. Книга поможет начинающим дизайнерам одежды найти собственный стиль, выбирать инструменты для работы и создавать точные и тщательные технические рисунки.</li><li>Келли Блэкмен, «100 лет моды»*Красивый сборник с яркими фотографиями познакомит начинающего дизайнера одежды со всеми изменениями, которые претерпела мода за последние сто лет. В этом альбоме собраны лучшие иллюстрации, начиная с 1900 года до наших дней, которые сопровождены комментариями автора.</li></ul>";<ul><li>Youtube-канал FashionElement TV*https://youtu.be/tVmfzOfuEfI </li><li>Диор и Я (2015)*https://youtu.be/_2XdPBysXAA</li><li>Секреты Лагерфельда (2007)*https://youtu.be/OyL9WUBcSYU</li><li>Ив Сен-Лоран (2013)*https://youtu.be/MX17WFjfv9w</li></ul>;<p>54.03.04 Искусство костюма и текстиля</p><p>54.03.01 Дизайн</p><p>54.03.02 Декоративно-прикладное искусство и народные промыслы</p><p>50.03.02 Изящные искусства</p><p>29.03.02 Технологии и проектирование текстильных изделий</p><p>29.03.01 Технология изделий легкой промышленности</p><p>29.03.05 Конструирование изделий легкой промышленности</p>;;Подвижный график;Офисная работа;;;
2163;Культура и искусство;Графический дизайнер;"<ul><li>Дизайнер печатных изданий;</li><li>Иллюстратор;/li><li>Верстальщик;/li><li>Веб-дизайнер;</li><li>Мультимедийный дизайнер;</li><li>Художник компьютерной графики.</li></ul>";"Искусство; Техника";"Творить; Производить";25 000;115 000;"<ul><li>Создает дизайн рекламной продукции;</li><li>Разрабатывает фирменный стиль клиента (логотипы, упаковки, визитки, буклеты, униформа для сотрудников и т.д.;</li><li>Создает иллюстрации и другие графические материалы согласно техническому заданию.</li></ul>";"<ul><li>Художественный вкус, креативное мышление, интерес к цветоведению;</li><li>Усидчивость, умение доводить начатое до конца;</li><li>Навыки работы с графическими редакторами Adobe PhotoShop, Adobe Illustrator, InDesign и др.;</li></ul>";<ul><li>Квентин Ньюарк «Что такое графический дизайн?»*Книга показывает читателю развитие дизайна на протяжении нескольких столетий – от истоков, берущих начало в средневековой Германии, до современных направлений, охватывающих такие области, как дизайн корпоративных брендов и журналов, кинодизайн и дизайн веб-сайтов. Автор рассказывает начинающим дизайнерам об азах и особенностях профессии, учит анализировать, а в конце книги приводит работы крупных рекламных агентств и профессиональных дизайнеров.</li><li>Пол Рэнд «Дизайн. Форма и Хаос»*В остроумной и увлекательной книге Пол Рэнд рассказывает о положении современного дизайна, обличает непрофессионализм и скоротечные «модные тренды», рассуждает о специфике творческой деятельности дизайнера и той профессиональной страсти, благодаря которой рождается хороший дизайн. Свои тезисы автор иллюстрирует собственными работами, а также произведениями художников и дизайнеров, творчеством которых восхищается.</li><li>Боб Гордон, Мэгги Гордон. «Графический дизайн. Мастер-класс»*Книга предлагает современному графическому дизайнеру ответы на вопросы из всех фундаментальных областей дизайна, помогая не устареть в стремительно меняющемся мире. В книге вы найдете техническую информацию по каждому аспекту дизайн-процесса, а также реальные примеры из практики графических дизайнеров, большое количество иллюстраций и фотографий, а также профессиональные советы от двух самых опытных в своих областях графических дизайнеров.</li></ul>;<ul><li>Абстракция: искусство дизайна (2017)*https://youtu.be/wEAdvM4zgXM</li><li>Youtube-канал Школа Графического Дизайна*https://youtu.be/7n6kXp5Whs4 </li><li>Youtube-канал esPrezo*https://youtu.be/XN9f-Pzglmo </li><li>Гельветика (2007)*https://youtu.be/wkoX0pEwSCw</li></ul>;<p>54.03.01 Дизайн</p><p>54.03.02 Декоративно-прикладное искусство и народные промыслы</p><p>54.03.03 Графика</p><p>54.05.02 Живопись</p><p>29.03.05 Конструирование изделий легкой промышленности</p>;;Четкий график;"Офисная работа; Удаленная работа";;;
