Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2019 году;2019 очная Прох.балл Бюджет 1 волна;2019 очная Прох.балл Бюджет 2 волна;2019 очная Прох.балл Платно ;2019 очная Число мест Бюджет ;2019 очная Число мест Платно ;2019 очная Конкурс Бюджет ;2019 очная Конкурс Платно ;2019 очная Срок  ;2019 очная Стоимость  ;2019 очно-заочная Прох.балл Бюджет ;2019 очно-заочная Число мест Бюджет ;2019 очно-заочная Число мест Платно ;2019 очно-заочная Срок  ;2019 очно-заочная Стоимость  ;2019 заочная Прох.балл Бюджет ;2019 заочная Число мест Бюджет ;2019 заочная Число мест Платно ;2019 заочная Срок  ;2019 заочная Стоимость  ;2018 очная Прох.балл Бюджет 1 волна;2018 очная Прох.балл Бюджет 2 волна;2018 очная Прох.балл Платно ;2018 очная Число мест Бюджет ;2018 очная Число мест Платно ;2018 очная Конкурс Бюджет ;2018 очная Конкурс Платно ;2018 очная Срок  ;2018 очная Стоимость  ;2018 очно-заочная Прох.балл Бюджет ;2018 очно-заочная Число мест Бюджет ;2018 очно-заочная Число мест Платно ;2018 очно-заочная Срок  ;2018 очно-заочная Стоимость  ;2018 заочная Прох.балл Бюджет ;2018 заочная Число мест Бюджет ;2018 заочная Число мест Платно ;2018 заочная Срок  ;2018 заочная Стоимость  ;2017 очная Прох.балл Бюджет 1 волна;2017 очная Прох.балл Бюджет 2 волна;2017 очная Прох.балл Платно ;2017 очная Число мест Бюджет ;2017 очная Число мест Платно ;2017 очная Конкурс Бюджет ;2017 очная Конкурс Платно ;2017 очная Срок  ;2017 очная Стоимость  ;2017 очно-заочная Прох.балл Бюджет ;2017 очно-заочная Число мест Бюджет ;2017 очно-заочная Число мест Платно ;2017 очно-заочная Срок  ;2017 очно-заочная Стоимость  ;2017 заочная Прох.балл Бюджет ;2017 заочная Число мест Бюджет ;2017 заочная Число мест Платно ;2017 заочная Срок  ;2017 заочная Стоимость  ;2016 очная Прох.балл Бюджет 1 волна;2016 очная Прох.балл Бюджет 2 волна;2016 очная Прох.балл Платно ;2016 очная Число мест Бюджет ;2016 очная Число мест Платно ;2016 очная Конкурс Бюджет ;2016 очная Конкурс Платно ;2016 очная Срок  ;2016 очная Стоимость  ;2016 очно-заочная Прох.балл Бюджет ;2016 очно-заочная Число мест Бюджет ;2016 очно-заочная Число мест Платно ;2016 очно-заочная Срок  ;2016 очно-заочная Стоимость  ;2016 заочная Прох.балл Бюджет ;2016 заочная Число мест Бюджет ;2016 заочная Число мест Платно ;2016 заочная Срок  ;2016 заочная Стоимость  ;Содержание программы;Профессии;Адрес обучения по данному профилю;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ;;1
г. Москва;0002;МГТУ им. Баумана;Математические науки;01.03.02 Прикладная математика и информатика;000030;Теоретическая информатика и компьютерные технологии;ИУ;да;;;;36;4;;;4;;;0;0;;;;0;0;;;280;268;;36;15;;;4;266 884;;;;;;;;;;;280;277;186;;;22.8;;;;;;;;;;;;;;;271;;;;;;;;;;;;;;;;;;Программа нацелена на подготовку разработчиков математического и программного обеспечения для современных информационных технологий . Студенты будут специалистами в компиляции программного кода.;"Программист 1С, системный администратор, информатик-экономист; IT-менеджер";г. Москва, 2-ая Бауманская ул., д. 5;40;40;;;;;;;;40;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;8;0;0;;;2071
г. Москва;0002;МГТУ им. Баумана;Математические науки;01.03.04 Прикладная математика;000031;Высшая математика;ФН;да;;;;80;8;;;4;;;0;0;;;;0;0;;;263;258;;20;2;;;4;266 884;;;;;;;;;;;250;246;146;;;8.3;;;;;;;;;;;;;;;250;;;;;;;;;;;;;;;;;;Программа нацелена на подготовку кадров, способных к успешному функционированию в новых экономических и политических условиях. Студенты научатся разрабатывать интегрированные системы математического обеспечения технической, информационной, административной деятельности. ;Программист, аналитик, системный администратор;г. Москва, Рубцовская наб., д. 2/18;40;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;4;8;0;0;;;2072
г. Москва;0002;МГТУ им. Баумана;Математические науки;01.03.04 Прикладная математика;000032;Прикладная математика;ФН;да;;;;80;8;;;4;;;0;0;;;;0;0;;;259;260;;40;5;;;4;266 884;;;;;;;;;;;250;249;146;;;8.3;;;;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;;Студенты изучают на современном университетском уровне теоретические основы высшей математики. На этой основе постигают передовые компьютерные технологии. Глубокое изучение основных прикладных дисциплин формирует четкое представление о математических моделях сложных физических процессах.;Программист, аналитик, системный администратор;г. Москва, Рубцовская наб., д. 2/18;40;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;4;8;0;0;;;2073
г. Москва;0002;МГТУ им. Баумана;Математические науки;01.03.04 Прикладная математика;000033;Математическое моделирование;ФН;да;;;;80;8;;;4;;;0;0;;;;0;0;;;259;255;;20;3;;;4;266 884;;;;;;;;;;;250;250;146;;;8.3;;;;;;;;;;;;;;;239;;;;;;;;;;;;;;;;;;Студент получит фундаментальную подготовку в областях теоретической и прикладной математики. Также глубокие знания в области программирования, вычислительной техники и навыки разработки прикладного программного Кроме того, студенту будет предоставлена практика в институтах РАН.;Программист, аналитик, системный администратор;г. Москва, Рубцовская наб., д. 2/18;40;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;4;8;0;0;;;2074
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;02.03.01 Математика и компьютерные науки;000034;"Вычислительная математика и математическая физика (факультет ""Аэрокосмический"")";АК;да;;;;57;6;;;4;;;0;0;;;;0;0;;;262;257;;17;3;;;4;266 884;;;;;;;;;;;Набора не было;Набора не было;Набора не было;;;0;;;;;;;;;;;;;;;Набора не было;;;;;;;;;;;;;;;;;;Основной научной специализацией кафедры является математическое и компьютерное моделирование сложных технических систем. Программа нацелена на получение глубоких знаний в области фундаментальной и прикладной математики, в области вычислительной математики, механики и математической физики, в области информатики, программирования и вычислительной техники.;IT-специалист, специалист в области информационной безопасности, специалист в области построения бизнес-систем, аналитик;Московская область, г. Реутов, ул. Гагарина, д. 33;40;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;4;8;0;0;;;2075
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;02.03.01 Математика и компьютерные науки;000035;"Вычислительная математика и математическая физика (факультет ""Фундаментальные науки"")";ФН;да;;;;57;6;;;4;;;0;0;;;;0;0;;;262;261;;40;13;;;4;266 884;;;;;;;;;;;262;257;212;;;7.6;;;;;;;;;;;;;;;243;;;;;;;;;;;;;;;;;;Студенты научатся разрабатывать программные комплексы, в том числе с применением суперкомпьютеров. Студенты, обучающиеся на кафедре, получат глубокие знания в области фундаментальной и прикладной математики, вычислительной математики, механики и математической физики, информатики, программирования и вычислительной техники.;IT-специалист, специалист в области информационной безопасности, специалист в области построения бизнес-систем, аналитик;г. Москва, Рубцовская наб., д. 2/18;40;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;10;4;8;0;0;;;2076
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000036;"Системы обработки информации и управления (факультет ""Информатика и системы управления"")";ИУ;да;;;;198;20;;;4;;;0;0;;;;0;0;;;266;278;;20;3;;;4;284 341;;;;;;;;;;;273;275;159;;;5.9;;;;;;;;;;;;;;;262;;;;;;;;;;;;;;;;;;Студенты получают знания программированию, базам данных, компьютерной лингвистики. Бакалавры станут экспертами в области общесистемного проектирования и моделирования.;Системный программист, IT специалист, программист, разработчик ПО;г. Москва, Рубцовская наб., д. 2/18;40;40;;;;;;;;40;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;8;0;0;;;2077
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000037;"Системы обработки информации и управления (факультет ""Радиотехнический"")";РТ;да;;;;198;20;;;4;;;0;0;;;;0;0;;;266;269;;64;24;;;4;284 341;;;;;;;;;;;273;266;159;;;5.9;;;;;;;;;;;;;;;Набора не было;;;;;;;;;;;;;;;;;;Программа готовит специалистов в области разработки и эксплуатации информационных систем организационного управления. Это автоматизированные банковские системы, автоматизированные системы управления предприятиями и отраслями. системы поддержки принятия решений.;Системный программист, IT специалист, программист, разработчик ПО;г. Москва, 2-ая Бауманская ул., д. 5;40;40;;;;;;;;40;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;8;0;0;;;2078
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000038;Системы автоматизированного проектирования;РК;да;;;;198;20;;;4;;;0;0;;;;0;0;;;266;256;;54;9;;;4;284 341;;;;;;;;;;;273;267;159;;;5.9;;;;;;;;;;;;;;;259;;;;;;;;;;;;;;;;;;Данная программа предназначены для автоматизации процессов конструирования, анализа и синтеза технических решений, их оптимизации, получения конструкторской и технологической документации. В современном проектировании активно применяются пакеты, разработанные студентами данного профиля. ;Системный программист, IT специалист, программист, разработчик ПО;г. Москва, Верейская ул., д. 48;40;40;;;;;;;;40;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;8;0;0;;;2079
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000039;"Компьютерные системы и сети (факультет ""Аэрокосмический"")";АК;да;;;;198;20;;;4;;;0;0;;;;0;0;;;266;273;;3;0;;;4;284 341;;;;;;;;;;;Набора не было;Набора не было;Набора не было;;;5.9;;;;;;;;;;;;;;;Набора не было;;;;;;;;;;;;;;;;;;Студенты профилируются в области математического моделирования и численных методов решения инженерных задач.;Системный программист, IT специалист, программист, разработчик ПО;Московская область, г. Реутов, ул. Гагарина, д. 33;40;40;;;;;;;;40;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;8;0;0;;;2080
