Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет ;2020 очная Число мест Платно ;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок  ;2020 очная Стоимость  ;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет ;2020 очно-заочная Число мест Платно ;2020 очно-заочная Срок  ;2020 очно-заочная Стоимость  ;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет ;2020 заочная Число мест Платно ;2020 заочная Срок  ;2020 заочная Стоимость  ;Адрес обучения по данному профилю;Содержание программы;Профессии;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Москва;0002;МГТУ им. Баумана;Лётная и космическая техника;24.05.06 Системы управления летательными аппаратами;209634;Автоматы стабилизации систем управления летательных аппаратов;Информатика и системы управления;Да;223;160;199;271;96;2,6;;5,5;350300;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Лефортовская наб., д. 1;В рамках данного направления происходят исследования и разработка перспективных систем и комплексов, обеспечивающих навигацию и управление движением различных систем, в том числе, пилотируемых и беспилотных летательных аппаратов.;"Авиационный инженер, инженер автоматизированных систем управления боевыми авиационными комплексами, инженер по системам приводов летательных аппаратов, инженер по эксплуатации приборов и измерительно-вычислительных комплексов летательных аппаратов, инженер по эксплуатации робототехнических систем комплексов авиационного вооружения
";45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Электроэнергетика, теплоэнергетика, ядерная физика;13.03.03 Энергетическое машиностроение;53;Гидромеханика, гидромашины и гидропневмоавтоматика;Энергомашиностроение;Да;233;187;185;90;39;5,2;1,5;4;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, 2-ая Бауманская ул., д. 5;За время обучения студенты имеют возможность получить современное разностороннее инженерное образование. Изучить теоретическую и прикладную гидромеханику, компьютерное гидродинамическое моделирование. Мехатронику и робототехнику.;Инженер-проектировщик, инженер-разработчик, инженер-электроник;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Машиностроение;15.05.01 Проектирование технологических машин и комплексов;209601;Диагностика и продление ресурса сварных конструкций;Машиностроительные технологии;Да;209;161;186;345;180;2;;5,5;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Госпитальный пер., д. 10;Область профессиональной деятельности на данном направлении связана с разработкой технологических процессов изготовления сварных конструкций и изделий различного назначения.;Инженер нефтеперерабатывающих заводов, инженер по технике безопасности, инженер-материаловед, инженер коммунального хозяйства;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Машиностроение;15.03.02 Технологические машины и оборудование;59;Вакуумная и компрессорная техника физических установок;Энергомашиностроение;Да;187;199;;20;20;8;;4;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, 2-ая Бауманская ул., д. 5;Обучающийся подготавливается к решению следующих задач: математическое моделирование процессов, оборудования и производственных объектов, проведение технических измерений, составление описаний проводимых исследований.;Инженер, инженер-конструктор, механик технологических машин и оборудования, технолог;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Управление в технических системах;27.03.04 Управление в технических системах;77;Автономные информационные и управляющие системы;Специальное машиностроение;Да;259;194;222;59;34;7,5;1,5;4;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Лефортовская наб., д. 1;Обучающийся подготавливается к решению следующих задач: обработка результатов экспериментальных исследований с применением современных информационных технологий, проведение вычислительных экспериментов с использованием стандартных программных средств.;Инженер по автоматизации и механизации производственных процессов , инженер по наладке и испытаниям, инженер по управлению и информатике в технических системах, инженер технической поддержки, инженер-программист, инженер-системотехник;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Лётная и космическая техника;24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов;123;"Аэрокосмические системы (факультет ""Специальное машиностроение"")";Специальное машиностроение;Да;252;189;160;251;86;4,1;1,2;5,5;350300;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, 2-ая Бауманская ул., д. 5;Обучающийся подготавливается к решению следующих задач: определение надежности вариантов изделия по результатам расчетно- теоретических и экспериментальных работ, макетирование для проверки принципов работы изделия, моделирование с точностью, позволяющей прогнозировать надежность выбранных конструктивных технических решений.;Инженер-исследователь подводного аппарата, инженер-конструктор авиационной и ракетно-космической техники, инженер-конструктор крылатых ракет, инженер-конструктор ракетно-транспортных систем, инженер-конструктор скоростных подводных аппаратов, инженер-проектировщик наноспутников, инженер-проектировщик ракет;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Лётная и космическая техника;24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов;122;"Аэрокосмические системы (факультет ""Аэрокосмический"")";Аэрокосмический;Да;252;189;160;251;86;4,1;1,2;5,5;350300;Набора не было;0;0;;;Набора не было;0;0;;;Московская обл., г. Красногорск, Речная ул., д. 7а;Обучающийся подготавливается к решению следующих задач: определение надежности вариантов изделия по результатам расчетно- теоретических и экспериментальных работ, макетирование для проверки принципов работы изделия, моделирование с точностью, позволяющей прогнозировать надежность выбранных конструктивных технических решений.;Инженер-исследователь подводного аппарата, инженер-конструктор авиационной и ракетно-космической техники, инженер-конструктор крылатых ракет, инженер-конструктор ракетно-транспортных систем, инженер-конструктор скоростных подводных аппаратов, инженер-проектировщик наноспутников, инженер-проектировщик ракет;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Компьютерные и информационные науки;10.05.03 Информационная безопасность автоматизированных систем;97;Анализ безопасности информационных систем;Информатика и системы управления;Да;280;261;157;77;33;26,2;3,2;5,5;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Рубцовская наб., д. 2/18;Обучающийся подготавливается к решению следующих задач: подготовка научно-технических отчетов, обзоров, докладов, публикаций по результатам выполненных исследований, сбор и анализ исходных данных для проектирования защищенных автоматизированных систем.;ERP-программист, IT-специалист, администратор базы данных, администратор локальных вычислительных сетей, инженер по защите информации, программист, разработчик баз данных, специалист SAP;45;40;;;;;;;;42;;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Транспортные технологии;23.05.01 Наземные транспортно-технологические средства;119;Автомобили и тракторы;Специальное машиностроение;Да;229;203;195;75;59;1,7;;5,5;302533;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Бригадирский пер., д. 14;Обучающийся подготавливается к решению следующих задач: проведение анализа состояния и перспектив развития наземных транспортно-технологических средств, техническое и организационное обеспечение исследований, анализ результатов и разработка предложений по их реализации.;Автомеханик, инженер по транспорту, инженер-конструктор, машиностроитель, оценщик, слесарь по ремонту дорожно–строительных машин и тракторов, специалист по автотранспортной диагностике;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
г. Москва;0002;МГТУ им. Баумана;Лётная и космическая техника;24.05.04 Навигационно-баллистическое обеспечение применения космической техники;209629;Аэродинамика ракет и космических транспортных систем;Специальное машиностроение;Да;231;167;;51;20;6;;5,5;350300;Набора не было;0;0;;;Набора не было;0;0;;;г. Москва, Лефортовская наб., д. 1;Обучающийся подготавливается к решению следующих задач: сбор, анализ и систематизация исходных информационных данных для проектирования космической и ракетной техники. Студент научится постановке и формализации задач, исследований, расчету и прогнозированию баллистических, аэродинамических и кинематических параметров.;Авиационный инженер, авиаконструктор, инженер-проектировщик, слесарь-сборщик авиационных приборов, авиадиспетчер, инженер стартовых комплексов, авиационный техник;45;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;10;4;10;0;0;
