id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в фифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники
0250;Приволжский ФО;Нижегородская область;НижГМА;Нижегородская государственная медицинская академия;Государственный;Медицина и здравоохранение;www.nizhgma.ru;г. Нижний Новгород, просп. Гагарина, д. 70;+7 (831) 218-01-11;№2463 от 15.11.16;<ul><li>76 кафедр</li><li>7 факультетов</li><li>6 общежитий</li><li>9 учебных корпусов</li></ul>;;;;Нет;Есть;;Есть;;;1 484 — 5 195 ₽;;;
0251;Приволжский ФО;Нижегородская область;НА МВД России;Нижегородская академия МВД РФ;Государственный;Офицеры и военное дело;www.на.мвд.рф;г. Нижний Новгород, Анкудиновское ш., д. 3;+7 (831) 421-72-17;№1547 от 14.06.15;<ul><li>16 профессоров</li><li>6 факультетов</li><li>112 кандидатов наук</li><li>3 филиала</li></ul>;;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0252;Приволжский ФО;Республика Башкортостан;УЮИ;Уфимский юридический институт Министерства внутренних дел Российской Федерации;Государственный;Офицеры и военное дело;www.уюи.мвд.рф;г. Уфа, ул. Муксинова, д. 2;+7 (347) 255-70-26;№1652 от 15.09.15;<ul><li>Более 100 лет истории подготовки курсантов</li><li>5 факультетов</li><li>16 кафедр</li><li>4 основных очных профиля подготовки</li></ul>;;;;Нет;Есть;;Есть;;;11 500 — 23 650 ₽;;;
0253;Приволжский ФО;Республика Татарстан;КГАВМ им.Н.Э.Баумана;Казанская государственная академия ветеринарной медицины им. Н.Э. Баумана;Государственный;Медицина и здравоохранение;www.казветакадемия.рф;г. Казань, ул. Николая Ершова, д. 26;+7 (843) 273-96-46;№1969 от 29.02.16;<ul><li>3 факультета</li><li>219 преподавателей</li><li>5+ международных партнеров</li></ul>;;;;Нет;Есть;;Есть;;;1 300 — 2 400 ₽;;;
0254;Приволжский ФО;Республика Татарстан;ПГАФКСиТ;Поволжская государственная академия физической культуры, спорта и туризма;Государственный;Спорт и физическая культура;www.sportacadem.ru;г. Казань, Деревня Универсиады, д. 35;+7 (843) 294-90-90;№1925 от 08.02.16;<ul><li>14 международных организаций-партнеров</li><li>9 направлений подготовки</li><li>7 специализированных корпусов</li></ul>;;;;Нет;Есть;;Есть;;;1 565 — 3 130 ₽;;;
0255;Приволжский ФО;Пермский край;ПГМУ им. ак. Е.А. Вагнера;Пермский государственный медицинский университет им. Е.А. Вагнера;Государственный;Медицина и здравоохранение;www.psma.ru;г. Пермь, ул. Петропавловская, д. 26;+7 (342) 276-01-04;№2322 от 09.08.16;<ul><li>3 400 студентов</li><li>607 преподавателей</li><li>7 факультетов</li></ul>;;;;Нет;Есть;;Есть;;;от 1 340 ₽;;;
0256;Северо-Западный ФО;г. Санкт-Петербург;ВШНИ(И);Высшая школа народных искусств;Государственный;Культура и искусство;www.vshni.ru;г. Санкт-Петербург, канала Грибоедова наб., д. 2, лит. А;+7 (812) 710-42-54;№2273 от 02.03.18;"<ul>
<li>12 кафедр</li>
<li>1 библиотека</li>
<li>1 общежитие</li>
<li>7 филиалов</li>
</ul>";;;;Нет;Есть;;Есть;;;1 500 — 3 000 ₽;;;
0257;Северо-Западный ФО;г. Санкт-Петербург;МВАА;Михайловская военная артиллерийская академия;Государственный;Офицеры и военное дело;www.mvaa.mil.ru;г. Санкт-Петербург, ул. Комсомола, д. 22;+7 (812) 292-14-85;№0057 от 31.05.12;"<ul>
<li>Более 230 учебных кабинетов</li>
<li>20 компьютерных классов</li>
<li>Более 80 специализированных классов практической направленности</li>
<li>1 библиотека</li>
</ul>";;;;Есть;Есть;;Есть;;;1 440 — 2 200 ₽;;;
0258;Северо-Западный ФО;г. Санкт-Петербург;ВАС им. МСС С.М. Буденного;Военная академия связи им. С.М. Будённого;Государственный;Офицеры и военное дело;www.vas.mil.ru;г. Санкт-Петербург, Тихорецкий просп., д. 3, корп. 64;+7 (812) 247-98-35;№1874 от 14.01.16;"<ul>
<li>17 учебных аудиторий</li>
<li>3 лаборатории</li>
<li>2 общежития</li>
<li>18 кафедр</li>
</ul>";;;;Нет;Нет;;Есть;;;от 1 340 ₽;;;
0259;Северо-Западный ФО;г. Санкт-Петербург;СПВИВНГ;Санкт-Петербургский военный институт войск национальной гвардии России;Государственный;Офицеры и военное дело;www.spvi.ru;г. Санкт-Петербург, ул. Летчика Пилютова, д. 1;+7 (812) 680-24-30;№2484 от 28.11.16;"<ul><li>Основан в 1944</li>
<li> более 33 000 офицеров было подготовлено за годы работы</li>
<li>2 500 офицеров, закончивших обучение с отличием</li></ul>";;;;Есть;Есть;;Нет;;;16750;;;
