id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в цифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники;Телефон;Ссылка на видео;VK;Instagram;YouTube;Средний бал по бюджету;Средний бал по договору;import_id (Для внутренних целей, менять не нужно)
1000000;Центральный ФО;Московская область;ПущГЕНИ;Пущинский государственный естественно-научный институт;Негосударственный вуз;Государственный;www.pushgu.ru;142290, обл Московская, г Пущино, пр-кт Науки, 3;8(4967) 732538;от 13.09.2016 №2382. Бессрочно;;;;;Нет;Есть;;Есть;678 — 2000 ₽;678 — 2000 ₽;;;;;8(4967) 731857;https://www.youtube.com/watch?v=laWhADNgbWc&t=24s;https://vk.com/pushgeni;https://www.instagram.com/genipush;;0;63;25
1000001;Приволжский ФО;Самарская область;ТГУ;Тольяттинский государственный университет;Негосударственный вуз;Государственный;tltsu.ru;445020, обл Самарская, г Тольятти, ул Белорусская, д. 14;(8482) 50-11-00;от 03.08.2016 №2300. Бессрочно;;;;;Есть;Есть;;Есть;728.66 — 930.58 ₽;728.66 — 930.58 ₽;;;;;(8482) 53-92-47;https://www.youtube.com/watch?v=fuPRN6C1auA;https://vk.com/tltsu;https://www.instagram.com/tgu_tlt/;https://www.youtube.com/user/telestudiatgu;63.3;61;102
1000002;Северо-Западный ФО;Вологодская область;ЧГУ;Череповецкий государственный университет;Негосударственный вуз;Государственный;chsu.ru;162600, обл Вологодская, г Череповец, пр-кт Луначарского, 5;8 (8202) 51-71-88, 8 (8202) 51-81-70;от 12.08.2016 №2331, бессрочная;;;;;Нет;Есть;;Есть;245 — 950 ₽;245 — 950 ₽;;;;;8202556597;https://www.youtube.com/watch?v=MZxPbIbzIYw;https://vk.com/chsu35;https://www.instagram.com/chsu.ru/;https://www.youtube.com/user/35chsu;65.45;66;154
1000003;Центральный ФО;Московская область;Филиал МАИ в г.Химки;"Филиал ""ракетно-космическая техника"" ""Московский авиационный институт (Национальный исследовательский университет)"" в г.Химки";Негосударственный вуз;Государственный;rktmai-khimki.ru;141400, обл Московская, г Химки, ул Репина, ДОМ 3;;от 18.02.2016 №1961, бессрочная;;;;;;;;;;;;;;;4955712447;;;;;;;197
1000004;Приволжский ФО;Самарская область;СаГа;Самарская гуманитарная академия;Негосударственный вуз;Негосударственный;;443011, обл Самарская, г Самара, ул Радиальная 8-я, 31;8 (846) 22-66-588, 89879577732, 89879899927;от 29.04.2015 №1417, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;;;;;;;56.52;280
1000005;Южный ФО;Ростовская область;ИУБиП;Южный университет (ИУБиП);Негосударственный вуз;Негосударственный;http://www.iubip.ru;344068, обл Ростовская, г Ростов-на-Дону, пр-кт Михаила Нагибина, ДОМ 33А/47;8 (800) 77-55-012, (863) 292-45-65;от 20.04.2015 №1389, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8 (800) 77-55-012;;;;;;55.3;282
1000006;Центральный ФО;г. Москва;ПСТГУ;Православный Свято-Тихоновский гуманитарный университет;Негосударственный вуз;Негосударственный;http://pstgu.ru;115184, г Москва, ул Новокузнецкая, ДОМ 23Б;+7(495)114-50-73, +7(495)114-50-85, +7901-572-78-22;от 22.06.2017 №2603, бессрочная;;;;;Нет;;;;;;;;;;8(495)953-31-21;;;;;72.6;66.07;307
1000007;Приволжский ФО;Самарская область;Университет МИР;"Самарский университет государственного управления ""Международный институт рынка""";Негосударственный вуз;Негосударственный;;443030, обл Самарская, г Самара, ул Г.С.Аксакова, ДОМ 21;;от 19.06.2017 №2602, бессрочная;;;;;;;;;;;;;;;;;;;;51;57.78;336
1000008;Центральный ФО;Ивановская область;Шуйский филиал ИвГУ;"Шуйский филиал ""Ивановский государственный университет""";Негосударственный вуз;Государственный;sspu.ru;155908, обл Ивановская, р-н Шуйский, г Шуя, ул Кооперативная, 24;(49351)31061;от 26.09.2016 №2405, бессрочная;;;;;Нет;Есть;;Есть;620 — 5250 ₽;620 — 5250 ₽;;;;;4935131122;;https://vk.com/shuyavuz;;;63.82;53.78;381
1000009;Сибирский ФО;Красноярский край;Филиал СибГУ в г. Лесосибирске;Филиал СибГУ вЛесосибирске;Негосударственный вуз;Государственный;lfsibgu.ru;662543, край Красноярский, г Лесосибирск, ул Победы, ДОМ 29, КОРПУС 2;8 (39145) 6-11-59;от 29.05.2017 №2595, бессрочная;;;;;Нет;Есть;;Есть;100 — 770 ₽;100 — 770 ₽;;;;;8(39145)6-28-03;https://youtu.be/t1RAbyOzUnE;https://vk.com/lfsibgu;;;54.4;53.14;383
